Topic,Count,Name,label_name
-1,10419,-1_être_macron_français_pays,no_label
0,1496,0_vaccinés_vaccination_gouvernement_hôpitaux,Covid
1,1312,1_français_française_françaises_macron,Macron
2,1002,2_travailleurs_travail_lutte_capitalistes,Mouvements sociaux
3,780,3_enfants_élèves_éducation_enseignants,Education
4,772,4_merci_soir_retrouvez moi_émission,Annonce meeting
5,505,5_islamiste_terrorisme_islamisme_musulmans,Islamisme
6,501,6_europe_union européenne_souveraineté_europe nations,Union Européenne
7,488,7_élection_vote_électeurs_politique,Election présidentielle
8,456,8_monde_pays_république_être,République
9,418,9_voix_vie_acteur_cinéma français,Culture
10,411,10_climatique_écologique_carbone_écologistes,Ecologie
11,408,11_immigration_migrants_frontières_migratoire,Immigration
12,322,12_femmes_femmes hommes_hommes femmes_violences faites femmes,Droit des femmes
13,304,13_agriculteurs_agriculture_éleveurs_agriculture française,Agriculture
14,295,14_justice_pénale_prison_peines,Justice
15,291,15_ukraine_ukrainien_peuple ukrainien_europe,Guerre en Ukraine
16,291,16_policiers_police nationale_forces ordre_policières,Police
17,235,17_soldats_condoléances_tristesse_victimes,Commémoration
18,233,18_électricité_taxes_carburants_pouvoir achat,Pouvoir d'achat
19,224,19_chaîne youtube_meeting_direct youtube_facebook,Annonce meeting
